Complete U.S. State Utilities Directory 2024-2025,,,
Missouri,Citizens Electric Corporation,Public,Municipal system
Missouri,Independence Power and Light,Public,Municipal system
Missouri,"Associated Electric Cooperative, Inc.",Cooperative,G&T cooperative
Missouri,Black River Electric Cooperative,Cooperative,Electric cooperative
Missouri,Cuivre River Electric Cooperative,Cooperative,Electric cooperative
Missouri,Intercounty Electric Cooperative Association,Cooperative,Electric cooperative
Missouri,Laclede Electric Cooperative,Cooperative,Electric cooperative
Missouri,Macon Electric Cooperative,Cooperative,Electric cooperative
Missouri,Missouri Rural Electric Cooperative,Cooperative,Electric cooperative
Missouri,North Central Missouri Electric Cooperative,Cooperative,Electric cooperative
Missouri,Howell-Oregon Electric Cooperative,Cooperative,Electric cooperative
Missouri,Ozark Border Electric Cooperative,Cooperative,Electric cooperative
Missouri,Semo Electric Cooperative,Cooperative,Electric cooperative
Missouri,Sa-Ma-No Electric Cooperative,Cooperative,Electric cooperative
Missouri,White River Valley Electric Cooperative,Cooperative,Electric cooperative
Montana,NorthWestern Energy,Private (IOU),"Primary utility, most urban areas"
Montana,Montana-Dakota Utilities,Private (IOU),MDU Resources
Montana,City of Billings,Public,Municipal utility
Montana,Central Montana Electric Power Cooperative,Cooperative,Wholesale serving 8 cooperatives
Montana,Montana Electric Cooperatives' Association,Cooperative,Cooperative association
Montana,Flathead Electric Cooperative,Cooperative,Electric cooperative
Montana,Yellowstone Valley Electric Cooperative,Cooperative,Electric cooperative
Nebraska,Nebraska Public Power District (NPPD),Public,"Largest, serves 84 of 93 counties"
Nebraska,Omaha Public Power District (OPPD),Public,Municipal system
Nebraska,Lincoln Electric System,Public,Municipal system
Nebraska,Central Nebraska Public Power & Irrigation District,Public,Public power district
Nebraska,Municipal Energy Agency of Nebraska (MEAN),Public,Joint action agency
Nevada,NV Energy,Private (IOU),"2.4M customers, Berkshire Hathaway"
Nevada,Boulder City Municipal Utility,Public,Municipal system
Nevada,Mt. Wheeler Power,Cooperative,Central Nevada
Nevada,Wells Rural Electric,Cooperative,Rural electric
Nevada,Lincoln County Power District,Cooperative,Power district
Nevada,Overton Power District No. 5,Cooperative,Power district
New Hampshire,Eversource Energy (PSNH),Private (IOU),71% of customers statewide
New Hampshire,Liberty Utilities (Granite State Electric),Private (IOU),Western/southern areas
New Hampshire,Unitil Corporation,Private (IOU),Seacoast region
New Hampshire,National Grid,Private (IOU),Regional utility
New Hampshire,Northeast Utilities,Private (IOU),Utility holding company
New Hampshire,New Hampshire Electric Cooperative (NHEC),Cooperative,"84,000 members"
New Jersey,Public Service Electric and Gas Company (PSE&G),Private (IOU),"Largest, northern/central NJ"
New Jersey,Jersey Central Power and Light Company (JCP&L),Private (IOU),FirstEnergy subsidiary
New Jersey,Atlantic City Electric (ACE),Private (IOU),"Southern NJ, Exelon subsidiary"
New Jersey,Rockland Electric Company (RECO),Private (IOU),"Northern NJ, ConEd subsidiary"
New Jersey,Borough of Madison Electric Utility,Public,Municipal system
New Jersey,Borough of Milltown Electric Department,Public,Municipal system
New Jersey,Borough of Park Ridge Electric Department,Public,Municipal system
New Jersey,Borough of Seaside Heights Electric Utility,Public,Municipal system
New Jersey,Borough of South River Electric Department,Public,Municipal system
New Jersey,Butler Power and Light,Public,Municipal system
New Jersey,Lavallette Electric Department,Public,Municipal system
New Jersey,Pemberton Borough Electric Department,Public,Municipal system
New Jersey,Vineland Municipal Electric Utility,Public,Municipal system
New Jersey,Sussex Rural Electric Cooperative,Cooperative,Electric cooperative
New Mexico,Public Service Company of New Mexico (PNM),Private (IOU),"500,000+ customers"
New Mexico,El Paso Electric,Private (IOU),Southern New Mexico
New Mexico,Southwestern Public Service Company,Private (IOU),"Xcel Energy, eastern NM"
New Mexico,Texas-New Mexico Power,Private (IOU),Regional utility
New Mexico,Tri-State Generation and Transmission Association,Cooperative,G&T cooperative
New York,Consolidated Edison Company of New York,Private (IOU),ConEd subsidiary
New York,National Grid (Niagara Mohawk),Private (IOU),Upstate New York
New York,New York State Electric & Gas (NYSEG),Private (IOU),AVANGRID subsidiary
New York,Rochester Gas & Electric (RG&E),Private (IOU),AVANGRID subsidiary
New York,Orange and Rockland (O&R),Private (IOU),ConEd subsidiary
New York,Central Hudson Gas & Electric,Private (IOU),Regional utility
New York,CH Energy Group,Private (IOU),Utility holding company
New York,Direct Energy,Private (IOU),Competitive supplier
New York,East Coast Power & Gas,Private (IOU),Competitive supplier
New York,Northeast Utilities,Private (IOU),Utility holding company
New York,Long Island Power Authority (LIPA),Public,2nd largest U.S. municipal utility
New York,New York Power Authority (NYPA),Public,State power authority
New York,Akron Municipal Electric Department,Public,Municipal system
New York,Angelica Municipal Electric Department,Public,Municipal system
New York,Bath Municipal Electric Department,Public,Municipal system
New York,Bergen Municipal Electric Department,Public,Municipal system
New York,Boonville Municipal Electric Department,Public,Municipal system
New York,Brocton Municipal Electric Department,Public,Municipal system
New York,Castle Municipal Electric Department,Public,Municipal system
New York,Churchville Municipal Electric Department,Public,Municipal system
New York,Fishers Island Municipal Electric Department,Public,Municipal system
New York,Frankfort Municipal Electric Department,Public,Municipal system
New York,Freeport Electric Department,Public,Municipal system
New York,Green Island Municipal Electric Department,Public,Municipal system
New York,Greenport Municipal Electric Department,Public,Municipal system
New York,Greene Municipal Electric Department,Public,Municipal system
New York,Groton Municipal Electric Department,Public,Municipal system
New York,Hamilton Municipal Electric Department,Public,Municipal system
New York,Ilion Municipal Electric Department,Public,Municipal system
New York,Jamestown Municipal Electric Department,Public,Municipal system
New York,Lake Placid Municipal Electric Department,Public,Municipal system
New York,Marathon Municipal Electric Department,Public,Municipal system
New York,Massena Electric Department,Public,Municipal system
New York,Mayville Municipal Electric Department,Public,Municipal system
New York,Penn Yan Municipal Electric Department,Public,Municipal system
New York,Philadelphia Municipal Electric Department,Public,Municipal system
New York,Plattsburgh Municipal Light Department,Public,Municipal system
New York,Rockville Centre Municipal Electric Department,Public,Municipal system
New York,Rouses Point Electric Department,Public,Municipal system
New York,Salamanca Municipal Electric Department,Public,Municipal system
New York,Sherburne Municipal Electric Department,Public,Municipal system
New York,Sherrill Municipal Electric Department,Public,Municipal system
New York,Skaneateles Municipal Electric Department,Public,Municipal system
New York,Sliver Springs Municipal Electric Department,Public,Municipal system
New York,Solvay Electric Department,Public,Municipal system
New York,Spencerport Municipal Electric Department,Public,Municipal system
New York,Springville Municipal Electric Department,Public,Municipal system
New York,Theresa Municipal Electric Department,Public,Municipal system
New York,Tupper Lake Municipal Electric Department,Public,Municipal system
New York,Watkins Glen Municipal Electric Department,Public,Municipal system
New York,Waverly Municipal Electric Department,Public,Municipal system
New York,Wellsville Municipal Electric Department,Public,Municipal system
New York,Westfield Municipal Electric Department,Public,Municipal system
North Carolina,Duke Energy Carolinas,Private (IOU),2.5M accounts
North Carolina,Duke Energy Progress,Private (IOU),1.5M accounts
North Carolina,Dominion North Carolina Power,Private (IOU),"120,000 accounts"
North Carolina,ElectriCities of North Carolina,Public,Municipal agency
North Carolina,City of Apex Electric Department,Public,Municipal system
North Carolina,City of Concord Electric Department,Public,Municipal system
North Carolina,Wilson Energy,Public,Municipal system
North Carolina,Albemarle Electric Membership Corporation,Cooperative,Electric membership corp
North Carolina,Blue Ridge Energy,Cooperative,Electric cooperative
North Carolina,Brunswick Electric Membership Corporation,Cooperative,Electric membership corp
North Carolina,Cape Hatteras Electric Cooperative,Cooperative,Electric cooperative
North Carolina,Carteret-Craven Electric Cooperative,Cooperative,Electric cooperative
North Carolina,Central Electric Membership Corporation,Cooperative,Electric membership corp
North Carolina,Edgecombe-Martin County Electric Membership Corporation,Cooperative,Electric membership corp
North Carolina,EnergyUnited,Cooperative,Electric cooperative
North Carolina,Four County Electric Membership Corporation,Cooperative,Electric membership corp
North Carolina,French Broad Electric Membership Corporation,Cooperative,Electric membership corp
North Carolina,Halifax Electric Membership Corporation,Cooperative,Electric membership corp
North Carolina,Haywood Electric Membership Corporation,Cooperative,Electric membership corp
North Carolina,Jones-Onslow Electric Membership Corporation,Cooperative,Electric membership corp
North Carolina,Lumbee River Electric Membership Corporation,Cooperative,Electric membership corp
North Carolina,North Carolina Electric Membership Corporation (NCEMC),Cooperative,G&T cooperative
North Carolina,Pee Dee Electric Membership Corporation,Cooperative,Electric membership corp
North Carolina,Piedmont Electric Membership Corporation,Cooperative,Electric membership corp
North Carolina,Pitt & Greene Electric Membership Corporation,Cooperative,Electric membership corp
North Carolina,Randolph Electric Membership Corporation,Cooperative,Electric membership corp
North Carolina,Roanoke Electric Cooperative,Cooperative,Electric cooperative
North Carolina,Rutherford Electric Membership Corporation,Cooperative,Electric membership corp
North Carolina,South River Electric Membership Corporation,Cooperative,Electric membership corp
North Carolina,Surry-Yadkin Electric Membership Corporation,Cooperative,Electric membership corp
North Carolina,Tideland Electric Membership Corporation,Cooperative,Electric membership corp
North Carolina,Tri-County Electric Membership Corporation,Cooperative,Electric membership corp
North Carolina,Union Power Cooperative,Cooperative,Electric cooperative
North Carolina,Wake Electric Membership Corporation,Cooperative,Electric membership corp
North Carolina,Tennessee Valley Authority (TVA),Public,Federal agency (small portion)
North Dakota,Montana-Dakota Utilities Co. (MDU),Private (IOU),Regional utility
North Dakota,Northern States Power Company,Private (IOU),Xcel Energy
North Dakota,Otter Tail Power Company,Private (IOU),Regional utility
North Dakota,Upper Missouri Power Cooperative,Public,Upper Missouri G&T Cooperative
North Dakota,Basin Electric Power Cooperative,Cooperative,Major G&T
North Dakota,Minnkota Power Cooperative,Cooperative,G&T cooperative
North Dakota,Central Power Electric Cooperative,Cooperative,Electric cooperative
Ohio,FirstEnergy,Private (IOU),6M customers through subsidiaries
Ohio,American Electric Power (AEP Ohio),Private (IOU),Regional utility
Ohio,Duke Energy Ohio,Private (IOU),Duke Energy subsidiary
Ohio,Dayton Power & Light (AES Ohio),Private (IOU),AES subsidiary
Ohio,Direct Energy,Private (IOU),Competitive supplier
Ohio,American Municipal Power,Public,Joint action agency
Ohio,Consolidated Electric Cooperative,Cooperative,Electric cooperative
Ohio,South Central Power Company,Cooperative,Electric cooperative
Oklahoma,Oklahoma Gas & Electric (OG&E),Private (IOU),Major utility
Oklahoma,Public Service Company of Oklahoma (PSO),Private (IOU),AEP subsidiary
Oklahoma,Liberty Utilities,Private (IOU),Regional utility
Oklahoma,Oklahoma City Utilities Department,Public,Municipal system
Oklahoma,Grand River Dam Authority,Public,State authority
Oklahoma,Oklahoma Municipal Power Authority,Public,Joint action agency
Oklahoma,East Central Electric Cooperative,Cooperative,Electric cooperative
Oklahoma,Western Farmers Electric Cooperative,Cooperative,Electric cooperative
Oregon,Portland General Electric (PGE),Private (IOU),44% of Oregon's population
Oregon,PacifiCorp (Pacific Power),Private (IOU),Regional utility
Oregon,Eugene Water & Electric Board (EWEB),Public,Municipal system
Oregon,Central Lincoln PUD,Public,Public utility district
Oregon,Clatskanie PUD,Public,Public utility district
Oregon,Columbia River PUD,Public,Public utility district
Oregon,Emerald PUD,Public,Public utility district
Oregon,Northern Wasco County PUD,Public,Public utility district
Oregon,Salem Electric,Public,Municipal system
Oregon,Springfield Utility Board,Public,Municipal system
Oregon,Tillamook PUD,Public,Public utility district
Oregon,Blachly-Lane Electric Cooperative,Cooperative,Electric cooperative
Oregon,Consumers Power Inc.,Cooperative,Electric cooperative
Oregon,Coos-Curry Electric Coop,Cooperative,Electric cooperative
Oregon,Douglas Electric Cooperative,Cooperative,Electric cooperative
Oregon,Hood River Electric & Internet Co-op,Cooperative,Electric cooperative
Oregon,Lane Electric Cooperative,Cooperative,Electric cooperative
Oregon,Midstate Electric Cooperative,Cooperative,Electric cooperative
Oregon,Umatilla Electric Cooperative,Cooperative,Electric cooperative
Oregon,West Oregon Electric Cooperative,Cooperative,Electric cooperative
Pennsylvania,PECO Energy,Private (IOU),"Exelon subsidiary, Philadelphia area"
Pennsylvania,PPL Corporation,Private (IOU),Eastern/central PA
Pennsylvania,Duquesne Light,Private (IOU),Pittsburgh area
Pennsylvania,FirstEnergy,Private (IOU),"Met-Ed, Penelec, Penn Power, West Penn"
Pennsylvania,UGI Utilities,Private (IOU),45 counties
Pennsylvania,Direct Energy,Private (IOU),Competitive supplier
Pennsylvania,Northeast Utilities,Private (IOU),Utility holding company
Pennsylvania,Philadelphia Gas Works (PGW),Public,Largest U.S. municipal gas utility
Pennsylvania,Borough of Ephrata Electric Division,Public,Municipal system
Pennsylvania,Borough of Hatfield Electric Utility,Public,Municipal system
Pennsylvania,Borough of Kutztown Electric Department,Public,Municipal system
Pennsylvania,Borough of Quakertown Electric Department,Public,Municipal system
Pennsylvania,Borough of Schuylkill Haven Utilities Department,Public,Municipal system
Pennsylvania,Lansdale Electric,Public,Municipal system
Pennsylvania,Perkasie Borough Electric Department,Public,Municipal system
Pennsylvania,Adams Electric Cooperative,Cooperative,Electric cooperative
Pennsylvania,Allegheny Electric Cooperative,Cooperative,Electric cooperative
Pennsylvania,Bedford Rural Electric Cooperative,Cooperative,Electric cooperative
Pennsylvania,Central Electric Cooperative,Cooperative,Electric cooperative
Pennsylvania,Citizen's Electric Company,Cooperative,Electric cooperative
Pennsylvania,Claverack Rural Electric Cooperative,Cooperative,Electric cooperative
Pennsylvania,New Enterprise Rural Electric Cooperative,Cooperative,Electric cooperative
Pennsylvania,Northwestern Rural Electric Cooperative,Cooperative,Electric cooperative
Pennsylvania,Pike County Light & Power,Cooperative,Electric cooperative
Pennsylvania,REA Energy Cooperative,Cooperative,Electric cooperative
Pennsylvania,Rural Valley Electric Co.,Cooperative,Electric cooperative
Pennsylvania,Somerset Rural Electric Cooperative,Cooperative,Electric cooperative
Pennsylvania,Sullivan County Rural Electric Cooperative,Cooperative,Electric cooperative
Pennsylvania,Tri-County Rural Electric Cooperative,Cooperative,Electric cooperative
Pennsylvania,United Electric Cooperative,Cooperative,Electric cooperative
Pennsylvania,Valley Rural Electric Cooperative,Cooperative,Electric cooperative
Pennsylvania,Warren Electric Cooperative,Cooperative,Electric cooperative
Pennsylvania,Wellsboro Electric Company,Cooperative,Electric cooperative
Rhode Island,Rhode Island Energy,Private (IOU),Primary utility (formerly National Grid)
Rhode Island,Direct Energy,Private (IOU),Competitive supplier
Rhode Island,Northeast Utilities,Private (IOU),Utility holding company
Rhode Island,Pascoag Utility District,Public,Municipal system
Rhode Island,Block Island Utility District (BIUD),Cooperative,Only cooperative
South Carolina,Dominion Energy South Carolina,Private (IOU),Formerly SCE&G
South Carolina,Duke Energy (Carolinas and Progress),Private (IOU),Duke Energy subsidiaries
South Carolina,Progress Energy Carolinas,Private (IOU),Duke Energy subsidiary
South Carolina,Santee Cooper,Public,"State-owned, largest public power utility"
South Carolina,Aiken Electric Co-Op,Cooperative,Electric cooperative
South Carolina,Berkeley Electric Co-Op,Cooperative,Electric cooperative
South Carolina,Black River Electric Co-op,Cooperative,Electric cooperative
South Carolina,Blue Ridge Electric Co-op,Cooperative,Electric cooperative
South Carolina,Broad River Electric Co-op,Cooperative,Electric cooperative
South Carolina,"Central Electric Power Cooperative, Inc.",Cooperative,G&T cooperative
South Carolina,Coastal Electric Co-op,Cooperative,Electric cooperative
South Carolina,Edisto Electric Co-op,Cooperative,Electric cooperative
South Carolina,Fairfield Electric Co-op,Cooperative,Electric cooperative
South Carolina,Horry Electric Co-op,Cooperative,Electric cooperative
South Carolina,Laurens Electric Co-op,Cooperative,Electric cooperative
South Carolina,Little River Electric Co-op,Cooperative,Electric cooperative
South Carolina,Lynches River Electric Co-op,Cooperative,Electric cooperative
South Carolina,Mid-Carolina Electric Co-op,Cooperative,Electric cooperative
South Carolina,Newberry Electric Co-op,Cooperative,Electric cooperative
South Carolina,Palmetto Electric Co-op,Cooperative,Electric cooperative
South Carolina,Santee Electric Co-op,Cooperative,Electric cooperative
South Carolina,Tri-County Electric Co-Op,Cooperative,Electric cooperative
South Carolina,York Electric Co-op,Cooperative,Electric cooperative
South Dakota,Black Hills Power,Private (IOU),Black Hills Corporation
South Dakota,MidAmerican Energy Company,Private (IOU),Berkshire Hathaway
South Dakota,Montana-Dakota Utilities (MDU),Private (IOU),MDU Resources
South Dakota,Northern States Power Company,Private (IOU),Xcel Energy
South Dakota,NorthWestern Energy,Private (IOU),Regional utility
South Dakota,Otter Tail Power Company,Private (IOU),Regional utility
South Dakota,Xcel Energy,Private (IOU),Multi-state utility
South Dakota,Missouri River Energy Services (MRES),Public,60 member communities
South Dakota,East River Electric Cooperative,Cooperative,G&T cooperative
South Dakota,Basin Electric Power Cooperative,Cooperative,Regional G&T
South Dakota,Rushmore Electric Cooperative,Cooperative,G&T cooperative
Tennessee,Appalachian Power,Private (IOU),AEP unit
Tennessee,Tennessee Valley Authority (TVA),Public,Largest U.S. public power provider
Tennessee,Nashville Electric Service (NES),Public,"Metro Nashville, Davidson County"
Tennessee,"Memphis Light, Gas and Water",Public,Municipal system
Tennessee,EPB (Electric Power Board),Public,"Chattanooga, Hamilton County"
Tennessee,Knoxville Utilities Board,Public,Municipal system
Tennessee,Lenoir City Utilities Board,Public,Municipal system
Tennessee,Brightridge Electric,Cooperative,Electric cooperative
Tennessee,Chickasaw Electric Cooperative,Cooperative,Electric cooperative
Tennessee,Middle Tennessee Electric Cooperative,Cooperative,"230,000+ meters"
Texas,Oncor Electric Delivery,Private (TDU),10+ million customers (formerly TXU)
Texas,CenterPoint Energy,Private (TDU),Houston area T&D
Texas,AEP Texas Central & North,Private (TDU),AEP transmission & distribution
Texas,Texas New Mexico Power (TNMP),Private (TDU),Transmission & distribution
Texas,Entergy Texas,Private (TDU),MISO region T&D
Texas,El Paso Electric,Private (IOU),Integrated utility
Texas,Southwestern Public Service Company,Private (IOU),Xcel Energy subsidiary
Texas,TXU Energy,Private (REP),Retail electric provider
Texas,Direct Energy,Private (REP),Retail electric provider
Texas,Ambit Energy,Private (REP),Retail electric provider
Texas,Amigo Energy,Private (REP),Retail electric provider
Texas,Champion Energy,Private (REP),Retail electric provider
Texas,Entrust Energy,Private (REP),Retail electric provider
Texas,First Texas Energy Corporation,Private (REP),Retail electric provider
Texas,GDF SUEZ Energy Resources,Private (REP),Retail electric provider
Texas,Hudson Energy,Private (REP),Retail electric provider
Texas,Luminant,Private (REP),Retail electric provider
Texas,MidSouth Synergy,Private (REP),Retail electric provider
Texas,PenTex Energy,Private (REP),Retail electric provider
Texas,Reliant Energy,Private (REP),Retail electric provider
Texas,South West Energy,Private (REP),Retail electric provider
Texas,Tara Energy,Private (REP),Retail electric provider
Texas,Austin Energy,Public,Municipal utility
Texas,CPS Energy,Public,San Antonio municipal
Texas,City of Bryan,Public,Municipal system
Texas,City of Greenville,Public,Municipal system
Texas,Denton Municipal Electric,Public,Municipal system
Texas,Garland Power & Light,Public,Municipal system
Texas,Lubbock Power & Light,Public,Municipal system
Texas,Bryan Texas Utilities,Public,Municipal system
Texas,New Braunfels Utilities,Public,Municipal system
Texas,Bartlett Electric Cooperative,Cooperative,Electric cooperative
Texas,Brazos Electric Power Cooperative,Cooperative,G&T cooperative
Texas,Comanche Electric Cooperative,Cooperative,Electric cooperative
Texas,CoServ Electric,Cooperative,Electric cooperative
Texas,Fort Belknap Electric Cooperative,Cooperative,Electric cooperative
Texas,Golden Spread Electric Cooperative,Cooperative,G&T cooperative
Texas,Hamilton County Electric Cooperative,Cooperative,Electric cooperative
Texas,Heart of Texas Electric Cooperative,Cooperative,Electric cooperative
Texas,HILCO Electric Cooperative,Cooperative,Electric cooperative
Texas,J-A-C Electric Cooperative,Cooperative,Electric cooperative
Texas,Lower Colorado River Authority,Cooperative,River authority
Texas,Navarro County Electric Cooperative,Cooperative,Electric cooperative
Texas,Navasota Valley Electric Cooperative,Cooperative,Electric cooperative
Texas,Pedernales Electric Cooperative,Cooperative,Electric cooperative
Texas,Rayburn Electric Cooperative,Cooperative,Electric cooperative
Texas,South Plains Electric Cooperative,Cooperative,Electric cooperative
Texas,Tri-County Electric Cooperative,Cooperative,Electric cooperative
Texas,United Cooperative Services,Cooperative,Electric cooperative
Texas,Wise Electric Cooperative,Cooperative,Electric cooperative
Utah,Rocky Mountain Power (PacifiCorp),Private (IOU),"800,000+ customers, 75% of Utah"
Utah,Dominion Energy Utah,Private (IOU),"900,000+ gas customers (sold to Enbridge 2024)"
Utah,Utah Municipal Power Agency (UMPA),Public,Joint action agency
Utah,Utah Associated Municipal Power Systems (UAMPS),Public,Joint action agency
Utah,South Utah Valley Electric Service District,Public,Electric service district
Utah,Heber Light & Power,Public,Electric service district
Vermont,Green Mountain Power,Private (IOU),"260,000 customers (3/4 of Vermont)"
Vermont,Vermont Electric Power Company (VELCO),Public,State transmission operator
Vermont,Burlington Electric Department,Public,Municipal system
Vermont,Vermont Electric Cooperative (VEC),Cooperative,"34,000 members"
Vermont,Washington Electric Cooperative (WEC),Cooperative,Electric cooperative
Virginia,Dominion Virginia Power,Private (IOU),Largest utility
Virginia,Appalachian Power,Private (IOU),"AEP subsidiary, SW Virginia"
Virginia,Portsmouth Public Utilities,Public,Municipal system
Virginia,Danville Utilities,Public,Municipal system
Virginia,A&N Electric Cooperative,Cooperative,Electric cooperative
Virginia,BARC Electric Cooperative,Cooperative,Electric cooperative
Virginia,Community Electric Cooperative,Cooperative,Electric cooperative
Virginia,Craig-Botetourt Electric Cooperative,Cooperative,Electric cooperative
Virginia,Mecklenburg Electric Cooperative,Cooperative,Electric cooperative
Virginia,Northern Neck Electric Cooperative,Cooperative,Electric cooperative
Virginia,Northern Virginia Electric Cooperative (NOVEC),Cooperative,Electric cooperative
Virginia,Old Dominion Electric Cooperative,Cooperative,G&T cooperative
Virginia,Prince George Electric Cooperative,Cooperative,Electric cooperative
Virginia,Rappahannock Electric Cooperative,Cooperative,Electric cooperative
Virginia,Shenandoah Valley Electric Cooperative,Cooperative,Electric cooperative
Virginia,Southside Electric Cooperative,Cooperative,Electric cooperative
Washington,Puget Sound Energy (PSE),Private (IOU),1.1M customers
Washington,Avista Utilities,Private (IOU),Eastern Washington
Washington,PacifiCorp (Pacific Power),Private (IOU),Regional utility
Washington,Seattle City Light,Public,Municipal system
Washington,Tacoma Power,Public,Municipal system
Washington,Snohomish County Public Utility District,Public,Public utility district
Washington,Chelan County Public Utility District,Public,Public utility district
Washington,Grant County Public Utility District,Public,Public utility district
Washington,Clark Public Utilities,Public,Public utility district
Washington,Benton County Public Utility District,Public,Public utility district
Washington,Douglas County Public Utility District,Public,Public utility district
Washington,Franklin County Public Utility District,Public,Public utility district
Washington,Klickitat Public Utility District,Public,Public utility district
Washington,Mason County Public Utility District 3,Public,Public utility district
Washington,Pend Oreille County Public Utility District,Public,Public utility district
Washington,City of Milton,Public,Municipal system
Washington,Town of Steilacoom,Public,Municipal system
Washington,Town of Eatonville,Public,Municipal system
Washington,Big Bend Electric,Cooperative,Electric cooperative
Washington,Columbia Rural Electric,Cooperative,Electric cooperative
Washington,Clearwater Power,Cooperative,Electric cooperative
Washington,Elmurst Mutual,Cooperative,Electric cooperative
Washington,Lakeview Light & Power,Cooperative,Electric cooperative
Washington,Modern Electric Water,Cooperative,Electric cooperative
Washington,Nespelem Valley Electric,Cooperative,Electric cooperative
Washington,Ohop Mutual,Cooperative,Electric cooperative
Washington,Okanaogan Country Electric & Propane,Cooperative,Electric cooperative
Washington,Orcas Power and Light Coop (OPALCO),Cooperative,Electric cooperative
Washington,Parkland Light & Water,Cooperative,Electric cooperative
Washington,Peninsula Light Co,Cooperative,Electric cooperative
Washington,Tanner Electric Coop,Cooperative,Electric cooperative
West Virginia,Appalachian Power Company,Private (IOU),"AEP subsidiary, most of WV"
West Virginia,Wheeling Power Company,Private (IOU),Managed by Appalachian Power
West Virginia,"FirstEnergy (Mon Power, Potomac Edison)",Private (IOU),Multi-state utility
West Virginia,Black Diamond Power Company,Private (IOU),Regional utility
West Virginia,Harrison Rural Electric Association,Cooperative,Electric cooperative
Wisconsin,We Energies,Private (IOU),"WEC Energy Group, 2.3M customers"
Wisconsin,Wisconsin Public Service (WPS),Private (IOU),"WEC Energy Group, 817K customers"
Wisconsin,Alliant Energy (Wisconsin Power and Light),Private (IOU),1M electric/425K gas customers
Wisconsin,Northern States Power Company-Wisconsin,Private (IOU),"Xcel Energy, western Wisconsin"
Wisconsin,Madison Gas and Electric,Private (IOU),Regional utility
Wisconsin,Great Lakes Utilities (GLU),Public,Multiple communities
Wisconsin,Municipal Electric Utilities of Wisconsin,Public,Municipal association
Wisconsin,Dairyland Power Cooperative,Cooperative,G&T with 25 member cooperatives
Wisconsin,Central Wisconsin Electric Cooperative,Cooperative,Electric cooperative
Wisconsin,Wisconsin Electric Cooperative Association,Cooperative,Cooperative association
Wyoming,PacifiCorp (Rocky Mountain Power),Private (IOU),Regional utility
Wyoming,Black Hills Power,Private (IOU),Black Hills Corporation
Wyoming,Montana-Dakota Utilities,Private (IOU),MDU Resources
Wyoming,"Cheyenne Light, Fuel & Power",Private (IOU),Regional utility
Wyoming,Lower Valley Energy,Cooperative,Electric cooperative
Wyoming,Bridger Valley,Cooperative,Electric cooperative
Wyoming,Niobrara Electric,Cooperative,Electric cooperative
Wyoming,Powder River Energy Corporation,Cooperative,Touchstone Energy
Wyoming,Carbon Power & Light,Cooperative,Touchstone Energy
Wyoming,Tri-State Generation and Transmission Association,Cooperative,Touchstone Energy G&T
Wyoming,Western Area Power Administration,Federal,Federal power marketing
